threshold,precision,recall,f1,auc,accuracy
0.0,0.43,1.0,0.6,0.8,0.43
0.05,0.43,1.0,0.6,0.8,0.43
0.1,0.43,1.0,0.6,0.8,0.43
0.15,0.45,0.98,0.62,0.8,0.48
0.2,0.53,0.91,0.67,0.8,0.62
0.25,0.59,0.86,0.7,0.8,0.68
0.3,0.62,0.75,0.68,0.8,0.69
0.35,0.65,0.73,0.69,0.8,0.71
0.4,0.68,0.68,0.68,0.8,0.72
0.45,0.76,0.57,0.65,0.8,0.74
0.5,0.83,0.51,0.63,0.8,0.74
0.55,0.9,0.48,0.63,0.8,0.75
0.6,0.91,0.45,0.6,0.8,0.74
0.65,0.92,0.43,0.59,0.8,0.74
0.7,0.92,0.4,0.56,0.8,0.73
0.75,0.91,0.36,0.52,0.8,0.71
0.8,0.91,0.27,0.42,0.8,0.67
0.85,0.9,0.17,0.28,0.8,0.63
0.9,1.0,0.03,0.05,0.8,0.58
0.95,0.0,0.0,0.0,0.8,0.57
1.0,0.0,0.0,0.0,0.8,0.57
