threshold,precision,recall,f1,auc,accuracy
0.0,0.44,1.0,0.61,0.92,0.44
0.05,0.44,1.0,0.61,0.92,0.44
0.1,0.44,1.0,0.61,0.92,0.44
0.15,0.77,0.93,0.84,0.92,0.85
0.2,0.78,0.93,0.85,0.92,0.86
0.25,0.78,0.93,0.85,0.92,0.86
0.3,0.78,0.93,0.85,0.92,0.86
0.35,0.79,0.93,0.86,0.92,0.86
0.4,0.79,0.93,0.86,0.92,0.86
0.45,0.79,0.89,0.84,0.92,0.85
0.5,0.82,0.87,0.84,0.92,0.86
0.55,0.82,0.8,0.81,0.92,0.83
0.6,0.81,0.79,0.8,0.92,0.83
0.65,0.85,0.75,0.8,0.92,0.83
0.7,0.86,0.7,0.77,0.92,0.82
0.75,0.93,0.64,0.76,0.92,0.82
0.8,1.0,0.51,0.67,0.92,0.78
0.85,1.0,0.39,0.56,0.92,0.73
0.9,1.0,0.26,0.42,0.92,0.67
0.95,1.0,0.11,0.21,0.92,0.61
1.0,0.0,0.0,0.0,0.92,0.56
