threshold,precision,recall,f1,auc,accuracy
0.0,0.44,1.0,0.61,0.93,0.44
0.05,0.77,0.97,0.86,0.93,0.86
0.1,0.76,0.9,0.83,0.93,0.83
0.15,0.77,0.89,0.82,0.93,0.83
0.2,0.79,0.87,0.83,0.93,0.84
0.25,0.79,0.87,0.83,0.93,0.84
0.3,0.79,0.87,0.83,0.93,0.84
0.35,0.79,0.87,0.83,0.93,0.84
0.4,0.79,0.87,0.83,0.93,0.84
0.45,0.8,0.85,0.83,0.93,0.84
0.5,0.8,0.84,0.82,0.93,0.83
0.55,0.79,0.82,0.81,0.93,0.83
0.6,0.79,0.8,0.8,0.93,0.82
0.65,0.79,0.8,0.8,0.93,0.82
0.7,0.79,0.8,0.8,0.93,0.82
0.75,0.79,0.79,0.79,0.93,0.81
0.8,0.78,0.77,0.78,0.93,0.8
0.85,0.78,0.75,0.77,0.93,0.8
0.9,0.81,0.72,0.77,0.93,0.8
0.95,0.86,0.7,0.77,0.93,0.82
1.0,0.0,0.0,0.0,0.93,0.56
