threshold,precision,recall,f1,auc,accuracy
0.0,0.44,1.0,0.61,0.9,0.44
0.05,0.44,1.0,0.61,0.9,0.44
0.1,0.58,0.93,0.71,0.9,0.67
0.15,0.67,0.93,0.78,0.9,0.77
0.2,0.74,0.93,0.83,0.9,0.83
0.25,0.75,0.93,0.83,0.9,0.83
0.3,0.78,0.93,0.85,0.9,0.86
0.35,0.78,0.93,0.85,0.9,0.86
0.4,0.78,0.92,0.84,0.9,0.85
0.45,0.79,0.87,0.83,0.9,0.84
0.5,0.82,0.82,0.82,0.9,0.84
0.55,0.81,0.77,0.79,0.9,0.82
0.6,0.82,0.75,0.79,0.9,0.82
0.65,0.81,0.72,0.77,0.9,0.8
0.7,0.85,0.67,0.75,0.9,0.8
0.75,0.93,0.62,0.75,0.9,0.81
0.8,0.94,0.54,0.69,0.9,0.78
0.85,0.96,0.43,0.59,0.9,0.74
0.9,1.0,0.36,0.53,0.9,0.72
0.95,1.0,0.21,0.35,0.9,0.65
1.0,0.0,0.0,0.0,0.9,0.56
